start_time,end_time,original_text,cleaned_text
00:00:05.440,00:00:09.589,And now the snakes are on the alert.,snake alert
00:00:09.589,00:00:09.599,And now the snakes are on the alert.,snake alert
00:00:09.599,00:00:11.910,And now the snakes are on the alert.,snake alert
00:00:09.599,00:00:11.910,This is the best feeding opportunity,best feeding opportunity
00:00:11.910,00:00:11.920,This is the best feeding opportunity,best feeding opportunity
00:00:11.920,00:00:29.349,This is the best feeding opportunity,best feeding opportunity
00:00:11.920,00:00:29.349,they will get all year.,get year
00:00:29.359,00:00:32.630,"On flat ground, a baby iguana can outrun",flat ground baby iguana outrun
00:00:32.630,00:00:32.640,"On flat ground, a baby iguana can outrun",flat ground baby iguana outrun
00:00:32.640,00:00:35.590,"On flat ground, a baby iguana can outrun",flat ground baby iguana outrun
00:00:32.640,00:00:35.590,a race of snake.,race snake
00:00:35.590,00:00:35.600,a race of snake.,race snake
00:00:35.600,00:01:05.270,a race of snake.,race snake
00:00:35.600,00:01:05.270,But others are waiting in ambush.,others waiting ambush
00:01:05.280,00:01:08.070,Another hatchling has its first glimpse,another hatchling first glimpse
00:01:08.070,00:01:08.080,Another hatchling has its first glimpse,another hatchling first glimpse
00:01:08.080,00:02:07.670,Another hatchling has its first glimpse,another hatchling first glimpse
00:01:08.080,00:02:07.670,of a dangerous world.,dangerous world
00:02:07.680,00:02:10.949,"A snake's eyes aren't very good, but",snake eye arent good
00:02:10.949,00:02:10.959,"A snake's eyes aren't very good, but",snake eye arent good
00:02:10.959,00:02:14.790,"A snake's eyes aren't very good, but",snake eye arent good
00:02:10.959,00:02:14.790,they can detect movement.,detect movement
00:02:14.790,00:02:14.800,they can detect movement.,detect movement
00:02:14.800,00:02:17.350,they can detect movement.,detect movement
00:02:14.800,00:02:17.350,"So, if the hatchling keeps its nerve, it",hatchling keep nerve
00:02:17.350,00:02:17.360,"So, if the hatchling keeps its nerve, it",hatchling keep nerve
00:02:17.360,00:02:41.110,"So, if the hatchling keeps its nerve, it",hatchling keep nerve
00:02:17.360,00:02:41.110,may just avoid detection.,may avoid detection
00:02:41.120,00:03:02.070,Heat.,heat
00:03:02.080,00:03:06.470,Heat.,heat
00:03:06.480,00:03:51.110,Heat. Heat.,heat heat
00:03:51.120,00:03:59.990,A near miraculous escape.,near miraculous escape
00:04:00.000,00:04:02.390,The lucky survivors could begin learning,lucky survivor could begin learning
00:04:02.390,00:04:02.400,The lucky survivors could begin learning,lucky survivor could begin learning
00:04:02.400,00:04:05.670,The lucky survivors could begin learning,lucky survivor could begin learning
00:04:02.400,00:04:05.670,the unique way of life demanded by this,unique way life demanded
00:04:05.670,00:04:05.680,the unique way of life demanded by this,unique way life demanded
00:04:05.680,00:04:08.149,the unique way of life demanded by this,unique way life demanded
00:04:05.680,00:04:08.149,hostile island.,hostile island
00:04:08.149,00:04:08.159,hostile island.,hostile island
00:04:08.159,00:04:11.509,hostile island.,hostile island
00:04:08.159,00:04:11.509,Wolves. These in northern Canada are the,wolf northern canada
00:04:11.509,00:04:11.519,Wolves. These in northern Canada are the,wolf northern canada
00:04:11.519,00:04:13.477,Wolves. These in northern Canada are the,wolf northern canada
00:04:11.519,00:04:13.477,"largest and most powerful in the world,",largest powerful world
00:04:13.477,00:04:13.487,"largest and most powerful in the world,",largest powerful world
00:04:13.487,00:04:20.229,"largest and most powerful in the world,",largest powerful world
00:04:13.487,00:04:20.229,[music] and they're setting out to hunt.,music theyre setting hunt
00:04:20.239,00:04:23.430,"The pack is 25 strong, a sign that the",pack strong sign
00:04:23.430,00:04:23.440,"The pack is 25 strong, a sign that the",pack strong sign
00:04:23.440,00:04:34.550,"The pack is 25 strong, a sign that the",pack strong sign
00:04:23.440,00:04:34.550,prey they're seeking is formidable.,prey theyre seeking formidable
00:04:34.560,00:04:36.469,These bison are even [music] bigger than,bison even music bigger
00:04:36.469,00:04:36.479,These bison are even [music] bigger than,bison even music bigger
00:04:36.479,00:04:38.550,These bison are even [music] bigger than,bison even music bigger
00:04:36.479,00:04:38.550,their southern cousins and the largest,southern cousin largest
00:04:38.550,00:04:38.560,their southern cousins and the largest,southern cousin largest
00:04:38.560,00:04:41.670,their southern cousins and the largest,southern cousin largest
00:04:38.560,00:04:41.670,land animals in North America.,land animal north america
00:04:41.670,00:04:41.680,land animals in North America.,land animal north america
00:04:41.680,00:04:44.629,land animals in North America.,land animal north america
00:04:41.680,00:04:44.629,"For generations, wolves and bison here",generation wolf bison
00:04:44.629,00:04:44.639,"For generations, wolves and bison here",generation wolf bison
00:04:44.639,00:04:46.469,"For generations, wolves and bison here",generation wolf bison
00:04:44.639,00:04:46.469,have been shaped by their battles with,shaped battle
00:04:46.469,00:04:46.479,have been shaped by their battles with,shaped battle
00:04:46.479,00:04:48.790,have been shaped by their battles with,shaped battle
00:04:46.479,00:04:48.790,"each other, making each the most",making
00:04:48.790,00:04:48.800,"each other, making each the most",making
00:04:48.800,00:04:52.710,"each other, making each the most",making
00:04:48.800,00:04:52.710,impressive of its kind.,impressive kind
00:04:52.710,00:04:52.720,impressive of its kind.,impressive kind
00:04:52.720,00:04:55.189,impressive of its kind.,impressive kind
00:04:52.720,00:04:55.189,The bison will not stay long among the,bison stay long among
00:04:55.189,00:04:55.199,The bison will not stay long among the,bison stay long among
00:04:55.199,00:04:59.328,The bison will not stay long among the,bison stay long among
00:04:55.199,00:04:59.328,trees. They're not safe here.,tree theyre safe
00:04:59.328,00:04:59.338,trees. They're not safe here.,tree theyre safe
00:04:59.338,00:05:04.150,trees. They're not safe here.,tree theyre safe
00:04:59.338,00:05:04.150,[music],music
00:05:04.160,00:05:06.550,"The wolves are closing in, but their",wolf closing
00:05:06.550,00:05:06.560,"The wolves are closing in, but their",wolf closing
00:05:06.560,00:05:08.310,"The wolves are closing in, but their",wolf closing
00:05:06.560,00:05:08.310,chance of ambushing the bison in the,chance ambushing bison
00:05:08.310,00:05:08.320,chance of ambushing the bison in the,chance ambushing bison
00:05:08.320,00:05:10.870,chance of ambushing the bison in the,chance ambushing bison
00:05:08.320,00:05:10.870,woods has passed. Their prey are now in,wood passed prey
00:05:10.870,00:05:10.880,woods has passed. Their prey are now in,wood passed prey
00:05:10.880,00:05:13.029,woods has passed. Their prey are now in,wood passed prey
00:05:10.880,00:05:13.029,the open and grouped together for,open grouped together
00:05:13.029,00:05:13.039,the open and grouped together for,open grouped together
00:05:13.039,00:05:17.029,the open and grouped together for,open grouped together
00:05:13.039,00:05:17.029,safety.,safety
00:05:17.039,00:05:19.670,The wolves will need to work as a team,wolf need work team
00:05:19.670,00:05:19.680,The wolves will need to work as a team,wolf need work team
00:05:19.680,00:05:24.870,The wolves will need to work as a team,wolf need work team
00:05:19.680,00:05:24.870,if they're to make a kill.,theyre make kill
00:05:24.880,00:05:27.270,"They circle the herd, trying to unsettle",circle herd trying unsettle
00:05:27.270,00:05:27.280,"They circle the herd, trying to unsettle",circle herd trying unsettle
00:05:27.280,00:05:29.990,"They circle the herd, trying to unsettle",circle herd trying unsettle
00:05:27.280,00:05:29.990,it and split it up. But the bison are,split bison
00:05:29.990,00:05:30.000,it and split it up. But the bison are,split bison
00:05:30.000,00:05:32.469,it and split it up. But the bison are,split bison
00:05:30.000,00:05:32.469,armed and dangerous. They will be safe,armed dangerous safe
00:05:32.469,00:05:32.479,armed and dangerous. They will be safe,armed dangerous safe
00:05:32.479,00:05:40.230,armed and dangerous. They will be safe,armed dangerous safe
00:05:32.479,00:05:40.230,as long as they stick together.,long stick together
00:05:40.240,00:05:42.390,"The wolves up their game, harrying the",wolf game harrying
00:05:42.390,00:05:42.400,"The wolves up their game, harrying the",wolf game harrying
00:05:42.400,00:05:45.029,"The wolves up their game, harrying the",wolf game harrying
00:05:42.400,00:05:45.029,"herd, a ploy to trigger a stampede and",herd ploy trigger stampede
00:05:45.029,00:05:45.039,"herd, a ploy to trigger a stampede and",herd ploy trigger stampede
00:05:45.039,00:05:49.830,"herd, a ploy to trigger a stampede and",herd ploy trigger stampede
00:05:45.039,00:05:49.830,split away one of the smaller ones.,split away one smaller one
00:05:49.840,00:05:52.070,The bison form a defensive circle around,bison form defensive circle around
00:05:52.070,00:05:52.080,The bison form a defensive circle around,bison form defensive circle around
00:05:52.080,00:06:01.270,The bison form a defensive circle around,bison form defensive circle around
00:05:52.080,00:06:01.270,"their young, horns pointing outwards.",young horn pointing outwards
00:06:01.280,00:06:10.070,The wolves need a bison to break rank.,wolf need bison break rank
00:06:10.080,00:06:12.034,But the tables are turning and now the,table turning
00:06:12.034,00:06:12.044,But the tables are turning and now the,table turning
00:06:12.044,00:06:17.350,But the tables are turning and now the,table turning
00:06:12.044,00:06:17.350,[music] wolves have to retreat.,music wolf retreat
00:06:17.360,00:06:19.430,The pack focus their attention on the,pack focus attention
00:06:19.430,00:06:19.440,The pack focus their attention on the,pack focus attention
00:06:19.440,00:06:21.830,The pack focus their attention on the,pack focus attention
00:06:19.440,00:06:21.830,rear of the herd and the bison begin to,rear herd bison begin
00:06:21.830,00:06:21.840,rear of the herd and the bison begin to,rear herd bison begin
00:06:21.840,00:06:40.199,rear of the herd and the bison begin to,rear herd bison begin
00:06:21.840,00:06:40.199,panic.,panic
00:06:40.209,00:06:50.679,&gt;&gt; [music],gtgt music
00:06:50.689,00:06:55.264,[music],music
00:06:55.274,00:06:57.430,[music],music
00:06:57.440,00:07:00.504,&gt;&gt; A young bison falls behind.,gtgt young bison fall behind
00:07:00.504,00:07:00.514,&gt;&gt; A young bison falls behind.,gtgt young bison fall behind
00:07:00.514,00:07:05.749,&gt;&gt; A young bison falls behind.,gtgt young bison fall behind
00:07:00.514,00:07:05.749,&gt;&gt; [music],gtgt music
00:07:05.759,00:07:16.710,&gt;&gt; Even this yearling dwarfs the wolves.,gtgt even yearling dwarf wolf
00:07:16.720,00:07:18.790,Running head down the herd's only,running head herd
00:07:18.790,00:07:18.800,Running head down the herd's only,running head herd
00:07:18.800,00:07:25.350,Running head down the herd's only,running head herd
00:07:18.800,00:07:25.350,thought is escape.,thought escape
00:07:25.360,00:07:40.950,A stroke of luck for the wolves.,stroke luck wolf
00:07:40.960,00:07:43.350,The kill will feed the pack for several,kill feed pack several
00:07:43.350,00:07:43.360,The kill will feed the pack for several,kill feed pack several
00:07:43.360,00:07:46.469,The kill will feed the pack for several,kill feed pack several
00:07:43.360,00:07:46.469,"days, but then they will have to resume",day resume
00:07:46.469,00:07:46.479,"days, but then they will have to resume",day resume
00:07:46.479,00:07:48.710,"days, but then they will have to resume",day resume
00:07:46.479,00:07:48.710,the chase.,chase
00:07:48.710,00:07:48.720,the chase.,chase
00:07:48.720,00:07:52.469,the chase.,chase
00:07:48.720,00:07:52.469,"Their cover blown,",cover blown
00:07:52.479,00:08:03.189,escape seems impossible.,escape seems impossible
00:08:03.199,00:08:05.749,But these particular fish have a unique,particular fish unique
00:08:05.749,00:08:05.759,But these particular fish have a unique,particular fish unique
00:08:05.759,00:08:10.590,But these particular fish have a unique,particular fish unique
00:08:05.759,00:08:10.590,ability.,ability
00:08:10.600,00:08:15.830,[music],music
00:08:15.840,00:08:21.270,[music],music
00:08:21.280,00:08:27.620,They're flying fish.,theyre flying fish
00:08:27.630,00:08:33.515,&gt;&gt; [music],gtgt music
00:08:33.525,00:08:42.030,[music],music
00:08:42.040,00:08:45.509,[music],music
00:08:45.519,00:08:48.230,"&gt;&gt; With an extra thrust from their tails,",gtgt extra thrust tail
00:08:48.230,00:08:48.240,"&gt;&gt; With an extra thrust from their tails,",gtgt extra thrust tail
00:08:48.240,00:08:59.190,"&gt;&gt; With an extra thrust from their tails,",gtgt extra thrust tail
00:08:48.240,00:08:59.190,the flying fish get airborne once more.,flying fish get airborne
00:08:59.200,00:09:01.350,"With a good wind, they can glide for",good wind glide
00:09:01.350,00:09:01.360,"With a good wind, they can glide for",good wind glide
00:09:01.360,00:09:05.611,"With a good wind, they can glide for",good wind glide
00:09:01.360,00:09:05.611,hundreds of meters.,hundred meter
00:09:05.621,00:09:14.781,[music],music
00:09:14.791,00:09:20.630,[music],music
00:09:20.640,00:09:23.030,But this is just what the frigot birds,frigot bird
00:09:23.030,00:09:23.040,But this is just what the frigot birds,frigot bird
00:09:23.040,00:09:28.790,But this is just what the frigot birds,frigot bird
00:09:23.040,00:09:28.790,have been waiting for.,waiting
00:09:28.800,00:09:31.110,"When frigots join the hunt, the flying",frigots join hunt flying
00:09:31.110,00:09:31.120,"When frigots join the hunt, the flying",frigots join hunt flying
00:09:31.120,00:09:33.910,"When frigots join the hunt, the flying",frigots join hunt flying
00:09:31.120,00:09:33.910,fish are literally caught between the,fish literally caught
00:09:33.910,00:09:33.920,fish are literally caught between the,fish literally caught
00:09:33.920,00:09:36.630,fish are literally caught between the,fish literally caught
00:09:33.920,00:09:36.630,devil,devil
00:09:36.630,00:09:36.640,devil,devil
00:09:36.640,00:09:58.070,devil,devil
00:09:36.640,00:09:58.070,and the deep blue sea.,deep blue sea
00:09:58.080,00:10:00.710,"If the flying fish get too much lift,",flying fish get much lift
00:10:00.710,00:10:00.720,"If the flying fish get too much lift,",flying fish get much lift
00:10:00.720,00:10:14.387,"If the flying fish get too much lift,",flying fish get much lift
00:10:00.720,00:10:14.387,they become easy prey for the frigots.,become easy prey frigots
00:10:14.397,00:10:18.150,&gt;&gt; [music],gtgt music
00:10:18.160,00:10:25.829,"&gt;&gt; If they dive to evade attack from above,",gtgt dive evade attack
00:10:25.839,00:10:27.670,they could fall into the mouths of the,could fall mouth
00:10:27.670,00:10:27.680,they could fall into the mouths of the,could fall mouth
00:10:27.680,00:10:41.242,they could fall into the mouths of the,could fall mouth
00:10:27.680,00:10:41.242,Dorado.,dorado
00:10:41.252,00:11:01.590,[music],music
00:11:01.600,00:11:06.470,"Mantids will eat anything that moves,",mantid eat anything move
00:11:06.480,00:11:23.910,including other mantids.,including mantid
00:11:23.920,00:11:36.389,Time to leave.,time leave
00:11:36.399,00:11:39.829,This tiny insect is now open to attack,tiny insect open attack
00:11:39.829,00:11:39.839,This tiny insect is now open to attack,tiny insect open attack
00:11:39.839,00:11:41.750,This tiny insect is now open to attack,tiny insect open attack
00:11:39.839,00:11:41.750,from predators lurking in the,predator lurking
00:11:41.750,00:11:41.760,from predators lurking in the,predator lurking
00:11:41.760,00:11:52.069,from predators lurking in the,predator lurking
00:11:41.760,00:11:52.069,undergrowth.,undergrowth
00:11:52.079,00:11:54.790,Whether an individual mantis survives or,whether individual mantis survives
00:11:54.790,00:11:54.800,Whether an individual mantis survives or,whether individual mantis survives
00:11:54.800,00:12:01.829,Whether an individual mantis survives or,whether individual mantis survives
00:11:54.800,00:12:01.829,not is partly a matter of chance.,partly matter chance
00:12:01.839,00:12:10.710,"Whether it's spotted by a predator,",whether spotted predator
00:12:10.720,00:12:13.509,whether it turns right,whether turn right
00:12:13.509,00:12:13.519,whether it turns right,whether turn right
00:12:13.519,00:12:23.910,whether it turns right,whether turn right
00:12:13.519,00:12:23.910,or left.,left
00:12:23.920,00:12:27.910,"So far, its luck has held.",far luck held
00:12:27.910,00:12:27.920,"So far, its luck has held.",far luck held
00:12:27.920,00:12:30.710,"So far, its luck has held.",far luck held
00:12:27.920,00:12:30.710,But this hungry jumping spider is still,hungry jumping spider still
00:12:30.710,00:12:30.720,But this hungry jumping spider is still,hungry jumping spider still
00:12:30.720,00:12:36.790,But this hungry jumping spider is still,hungry jumping spider still
00:12:30.720,00:12:36.790,in pursuit.,pursuit
00:12:36.800,00:12:39.590,A mantis is born with exceptional,mantis born exceptional
00:12:39.590,00:12:39.600,A mantis is born with exceptional,mantis born exceptional
00:12:39.600,00:12:41.110,A mantis is born with exceptional,mantis born exceptional
